Border,Date,Measure,Value,Average
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,11590003,11147700
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,6124800,6021796
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5407844,3488237
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,3931845,3988118
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2832881,1905611
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,533555,544185
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,485867,474707
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,399640,403489
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,366753,359915
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202261,109959
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,176567,173353
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,153206,151450
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,139565,147047
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,129434,125537
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,66714,25343
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,62544,57929
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,49346,49111
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,45091,40281
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,44094,15727
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,12979,12617
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8975,5064
US-Canada Border,06/01/2019 12:00:00 AM,Trains,2162,1929
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,964,968
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,851,868
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,11161555,11144236
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,6087007,6005493
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4209007,3308044
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,4144485,3949026
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2301064,1806748
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,576724,536050
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,507425,466527
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,435491,395489
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385497,353520
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,190178,89904
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,172481,173570
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,159963,149322
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,147259,146994
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133736,123487
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,61553,57023
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,52634,48230
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50586,19032
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,44885,39130
